epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6771.35,0.29119,0.34633,0.1824,0.78198,0.99958,0.99665,0.995,0.97825,0.99952,0.99659,0.995,0.86881,0.24033,0.33879,0.14452,0.77085,0.000515,0.000515,0.000515
77,6859.45,0.28833,0.34393,0.17894,0.78135,0.99967,0.99658,0.995,0.97787,0.99957,0.99645,0.995,0.86652,0.24159,0.33851,0.14398,0.77121,0.0004952,0.0004952,0.0004952
78,6949.87,0.29,0.34157,0.18147,0.77983,0.99971,0.99672,0.995,0.97799,0.9996,0.99653,0.995,0.86932,0.23965,0.3404,0.14273,0.77081,0.0004754,0.0004754,0.0004754
79,7039.05,0.28999,0.34154,0.18091,0.78151,0.9996,0.99662,0.995,0.97877,0.99947,0.99649,0.99499,0.86505,0.23824,0.33692,0.14312,0.77071,0.0004556,0.0004556,0.0004556
80,7128.75,0.286,0.34211,0.17782,0.78108,0.99967,0.99644,0.995,0.97887,0.99947,0.99624,0.995,0.86623,0.23793,0.33938,0.14186,0.77072,0.0004358,0.0004358,0.0004358
81,7218.13,0.28285,0.33762,0.17617,0.78077,0.99959,0.99672,0.995,0.97839,0.99946,0.99659,0.99499,0.86741,0.23929,0.34181,0.14187,0.77087,0.000416,0.000416,0.000416
82,7306.33,0.28316,0.3388,0.17488,0.78122,0.99973,0.99645,0.995,0.97846,0.9996,0.99624,0.995,0.86529,0.2367,0.33548,0.14109,0.7707,0.0003962,0.0003962,0.0003962
83,7395.55,0.28591,0.34166,0.17637,0.78183,0.99978,0.99645,0.995,0.97795,0.99965,0.99632,0.99499,0.86814,0.23821,0.33608,0.14125,0.77077,0.0003764,0.0003764,0.0003764
84,7484.93,0.2865,0.34257,0.17686,0.78188,0.9996,0.99665,0.995,0.97822,0.99947,0.99651,0.995,0.86798,0.23819,0.33749,0.14099,0.77058,0.0003566,0.0003566,0.0003566
85,7575.53,0.28295,0.33694,0.17499,0.78022,0.99947,0.99664,0.995,0.97851,0.99934,0.99651,0.99499,0.87013,0.23894,0.33748,0.14073,0.7709,0.0003368,0.0003368,0.0003368
86,7665.36,0.28056,0.33834,0.17308,0.78073,0.99974,0.99645,0.995,0.97917,0.99974,0.99631,0.99499,0.86906,0.23632,0.33603,0.13896,0.77036,0.000317,0.000317,0.000317
87,7753.63,0.28126,0.33906,0.17342,0.78052,0.99964,0.99652,0.995,0.9781,0.99967,0.99633,0.99499,0.87207,0.24092,0.33668,0.14054,0.7709,0.0002972,0.0002972,0.0002972
